_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
238,2020/21,S92000003,d,40-64 years,Female,Total,d,6550, ,699.08, ,3290, ,351.14, 
239,2020/21,S92000003,d,65plus years,Male,Total,d,8580, ,1803.27, ,3720, ,781.84, 
240,2020/21,S92000003,d,65plus years,Female,Total,d,10380, ,1788.79, ,4320, ,744.47, 
241,2021/22,S92000003,d,0-17 years,Male,Total,d,320, ,60.89, ,250, ,47.57, 
242,2021/22,S92000003,d,0-17 years,Female,Total,d,720, ,144.15, ,470, ,94.1, 
243,2021/22,S92000003,d,18-24 years,Male,Total,d,1160, ,514.46, ,740, ,328.19, 
244,2021/22,S92000003,d,18-24 years,Female,Total,d,1380, ,630.49, ,780, ,356.37, 
245,2021/22,S92000003,d,25-39 years,Male,Total,d,5540, ,1000.78, ,2770, ,500.39, 
246,2021/22,S92000003,d,25-39 years,Female,Total,d,3430, ,612, ,1840, ,328.3, 
247,2021/22,S92000003,d,40-64 years,Male,Total,d,10660, ,1206.9, ,4980, ,563.82, 
248,2021/22,S92000003,d,40-64 years,Female,Total,d,6530, ,695.11, ,3320, ,353.41, 
249,2021/22,S92000003,d,65plus years,Male,Total,d,8990, ,1854.6, ,3860, ,796.3, 
250,2021/22,S92000003,d,65plus years,Female,Total,d,10940, ,1857.01, ,4660, ,791.01, 
251,1997/98,S08000015, ,0-17 years,Male,Total,d,100, ,232.36, ,100, ,232.36, 
252,1997/98,S08000015, ,0-17 years,Female,Total,d,80, ,191.81, ,80, ,191.81, 
253,1997/98,S08000015, ,18-24 years,Male,Total,d,180, ,1221, ,120, ,814, 
254,1997/98,S08000015, ,18-24 years,Female,Total,d,90, ,628.45, ,70, ,488.79, 
255,1997/98,S08000015, ,25-39 years,Male,Total,d,480, ,1236.16, ,320, ,824.11, 
256,1997/98,S08000015, ,25-39 years,Female,Total,d,440, ,1050.37, ,260, ,620.67, 
257,1997/98,S08000015, ,40-64 years,Male,Total,d,640, ,1125.83, ,440, ,774.01, 
258,1997/98,S08000015, ,40-64 years,Female,Total,d,430, ,713.02, ,290, ,480.87, 
259,1997/98,S08000015, ,65plus years,Male,Total,d,470, ,1934.08, ,300, ,1234.52, 
260,1997/98,S08000015, ,65plus years,Female,Total,d,620, ,1686.25, ,430, ,1169.5, 
