_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
404,1998/99,S08000032, ,Total,d,29 days - 6 months,760
405,1998/99,S08000032, ,Total,d,> 6 months,180
406,1998/99,S08000024, ,SMR01, ,< 1 day,210
407,1998/99,S08000024, ,SMR01, ,1 - 7 days,470
408,1998/99,S08000024, ,SMR01, ,8 - 28 days,200
409,1998/99,S08000024, ,SMR01, ,29 days - 6 months,140
410,1998/99,S08000024, ,SMR01, ,> 6 months,10
411,1998/99,S08000024, ,SMR04, ,< 1 day,80
412,1998/99,S08000024, ,SMR04, ,1 - 7 days,1290
413,1998/99,S08000024, ,SMR04, ,8 - 28 days,1980
414,1998/99,S08000024, ,SMR04, ,29 days - 6 months,1280
415,1998/99,S08000024, ,SMR04, ,> 6 months,300
416,1998/99,S08000024, ,Total,d,< 1 day,290
417,1998/99,S08000024, ,Total,d,1 - 7 days,1760
418,1998/99,S08000024, ,Total,d,8 - 28 days,2180
419,1998/99,S08000024, ,Total,d,29 days - 6 months,1420
420,1998/99,S08000024, ,Total,d,> 6 months,300
421,1998/99,S08000025, ,SMR01, ,< 1 day,20
422,1998/99,S08000025, ,SMR01, ,1 - 7 days,30
423,1998/99,S08000025, ,SMR01, ,8 - 28 days,10
424,1998/99,S08000025, ,SMR01, ,29 days - 6 months,0
425,1998/99,S08000025, ,SMR01, ,> 6 months,0
426,1998/99,S08000025, ,SMR04, ,< 1 day,0
427,1998/99,S08000025, ,SMR04, ,1 - 7 days,0
428,1998/99,S08000025, ,SMR04, ,8 - 28 days,0
429,1998/99,S08000025, ,SMR04, ,29 days - 6 months,0
430,1998/99,S08000025, ,SMR04, ,> 6 months,0
431,1998/99,S08000025, ,Total,d,< 1 day,20
432,1998/99,S08000025, ,Total,d,1 - 7 days,30
433,1998/99,S08000025, ,Total,d,8 - 28 days,10
434,1998/99,S08000025, ,Total,d,29 days - 6 months,0
435,1998/99,S08000025, ,Total,d,> 6 months,0
436,1998/99,S08000026, ,SMR01, ,< 1 day,40
437,1998/99,S08000026, ,SMR01, ,1 - 7 days,60
438,1998/99,S08000026, ,SMR01, ,8 - 28 days,10
439,1998/99,S08000026, ,SMR01, ,29 days - 6 months,10
440,1998/99,S08000026, ,SMR01, ,> 6 months,0
441,1998/99,S08000026, ,SMR04, ,< 1 day,0
442,1998/99,S08000026, ,SMR04, ,1 - 7 days,0
443,1998/99,S08000026, ,SMR04, ,8 - 28 days,0
444,1998/99,S08000026, ,SMR04, ,29 days - 6 months,0
445,1998/99,S08000026, ,SMR04, ,> 6 months,0
446,1998/99,S08000026, ,Total,d,< 1 day,40
447,1998/99,S08000026, ,Total,d,1 - 7 days,60
448,1998/99,S08000026, ,Total,d,8 - 28 days,10
449,1998/99,S08000026, ,Total,d,29 days - 6 months,10
450,1998/99,S08000026, ,Total,d,> 6 months,0
451,1998/99,S08000030, ,SMR01, ,< 1 day,160
452,1998/99,S08000030, ,SMR01, ,1 - 7 days,300
453,1998/99,S08000030, ,SMR01, ,8 - 28 days,140
454,1998/99,S08000030, ,SMR01, ,29 days - 6 months,80
455,1998/99,S08000030, ,SMR01, ,> 6 months,10
456,1998/99,S08000030, ,SMR04, ,< 1 day,50
457,1998/99,S08000030, ,SMR04, ,1 - 7 days,630
458,1998/99,S08000030, ,SMR04, ,8 - 28 days,900
459,1998/99,S08000030, ,SMR04, ,29 days - 6 months,820
460,1998/99,S08000030, ,SMR04, ,> 6 months,250
