financial_year,health_board,age_group,sex,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf
2019,All of Scotland,65+,Female,10940,NA,1903.54,NA,4830,NA,840.41,NA
2020,All of Scotland,0-17,Male,350,NA,66.47,NA,290,NA,55.07,NA
2020,All of Scotland,0-17,Female,840,NA,167.88,NA,540,NA,107.92,NA
2020,All of Scotland,18-24,Male,1380,NA,595.8,NA,830,NA,358.34,NA
2020,All of Scotland,18-24,Female,1340,NA,595.24,NA,740,NA,328.71,NA
2020,All of Scotland,25-39,Male,5820,NA,1060.39,NA,2930,NA,533.84,NA
2020,All of Scotland,25-39,Female,3580,NA,641.48,NA,1880,NA,336.87,NA
2020,All of Scotland,40-64,Male,10990,NA,1245.51,NA,5080,NA,575.72,NA
2020,All of Scotland,40-64,Female,6550,NA,699.08,NA,3290,NA,351.14,NA
2020,All of Scotland,65+,Male,8580,NA,1803.27,NA,3720,NA,781.84,NA
2020,All of Scotland,65+,Female,10380,NA,1788.79,NA,4320,NA,744.47,NA
2021,All of Scotland,0-17,Male,320,NA,60.89,NA,250,NA,47.57,NA
2021,All of Scotland,0-17,Female,720,NA,144.15,NA,470,NA,94.1,NA
2021,All of Scotland,18-24,Male,1160,NA,514.46,NA,740,NA,328.19,NA
2021,All of Scotland,18-24,Female,1380,NA,630.49,NA,780,NA,356.37,NA
2021,All of Scotland,25-39,Male,5540,NA,1000.78,NA,2770,NA,500.39,NA
2021,All of Scotland,25-39,Female,3430,NA,612,NA,1840,NA,328.3,NA
2021,All of Scotland,40-64,Male,10660,NA,1206.9,NA,4980,NA,563.82,NA
2021,All of Scotland,40-64,Female,6530,NA,695.11,NA,3320,NA,353.41,NA
2021,All of Scotland,65+,Male,8990,NA,1854.6,NA,3860,NA,796.3,NA
2021,All of Scotland,65+,Female,10940,NA,1857.01,NA,4660,NA,791.01,NA
1997,NHS Ayrshire and Arran,0-17,Male,100,NA,232.36,NA,100,NA,232.36,NA
1997,NHS Ayrshire and Arran,0-17,Female,80,NA,191.81,NA,80,NA,191.81,NA
1997,NHS Ayrshire and Arran,18-24,Male,180,NA,1221,NA,120,NA,814,NA
1997,NHS Ayrshire and Arran,18-24,Female,90,NA,628.45,NA,70,NA,488.79,NA
1997,NHS Ayrshire and Arran,25-39,Male,480,NA,1236.16,NA,320,NA,824.11,NA
1997,NHS Ayrshire and Arran,25-39,Female,440,NA,1050.37,NA,260,NA,620.67,NA
1997,NHS Ayrshire and Arran,40-64,Male,640,NA,1125.83,NA,440,NA,774.01,NA
